# Dicionário de apps do mercado brasileiro (+351 Monitor), VERSIONADO NO REPO.
#
# Formato: process_name;display_name;default_category  (separador ';', UTF-8, comentários com '#')
#
# REGRAS INEGOCIÁVEIS desta lista:
#  - process_name SEMPRE minúsculo e sem espaços nas bordas: é a chave de app_catalog e o
#    agente/ingestão normalizam com Trim().ToLowerInvariant() (Win32ForegroundWindowQuery e
#    IngestService). Uma linha em maiúsculas nunca casaria com o uso real;
#  - default_category usa EXATAMENTE um dos nomes canônicos semeados por tenant em
#    CreateOrgCommand.SeedCategoriesAsync. Nome fora da lista é sugestão órfã (o portal não
#    encontraria a categoria do tenant) e o seeder descarta a linha com log de erro;
#  - a sugestão é SEMPRE apenas sugestão: quem decide é o tenant (tenant_app_categories).
#    O seeder nunca escreve mapeamento de tenant nem custom_display_name;
#  - na dúvida, o app NÃO recebe categoria de classificação negativa. Ferramentas de uso
#    ambíguo (mensageiros, players, emuladores de uso misto) ficam em categoria relacionada
#    ao trabalho ou neutra: o produto não acusa ninguém, apenas organiza o catálogo.
#
# Categorias canônicas válidas:
#   Desenvolvimento | Escritório/Documentos | Comunicação | Reuniões | Navegação | Design |
#   ERP/Sistemas internos | Sistema/Utilitários | Música/Streaming de áudio |
#   Não categorizado | Jogos | Redes sociais | Vídeo/Streaming

# ----------------------------------------------------------------- navegadores
chrome.exe;Google Chrome;Navegação
chrome_proxy.exe;Aplicativo web (Chrome);Navegação
msedge.exe;Microsoft Edge;Navegação
firefox.exe;Mozilla Firefox;Navegação
opera.exe;Opera;Navegação
opera_gx.exe;Opera GX;Navegação
brave.exe;Brave;Navegação
vivaldi.exe;Vivaldi;Navegação
chromium.exe;Chromium;Navegação
iexplore.exe;Internet Explorer;Navegação

# ----------------------------------------------------------------- escritório e documentos
winword.exe;Microsoft Word;Escritório/Documentos
excel.exe;Microsoft Excel;Escritório/Documentos
powerpnt.exe;Microsoft PowerPoint;Escritório/Documentos
onenote.exe;Microsoft OneNote;Escritório/Documentos
onenoteim.exe;OneNote para Windows;Escritório/Documentos
msaccess.exe;Microsoft Access;Escritório/Documentos
mspub.exe;Microsoft Publisher;Escritório/Documentos
visio.exe;Microsoft Visio;Escritório/Documentos
winproj.exe;Microsoft Project;Escritório/Documentos
soffice.exe;LibreOffice;Escritório/Documentos
soffice.bin;LibreOffice;Escritório/Documentos
swriter.exe;LibreOffice Writer;Escritório/Documentos
scalc.exe;LibreOffice Calc;Escritório/Documentos
simpress.exe;LibreOffice Impress;Escritório/Documentos
wps.exe;WPS Writer;Escritório/Documentos
et.exe;WPS Planilhas;Escritório/Documentos
wpp.exe;WPS Apresentações;Escritório/Documentos
notepad.exe;Bloco de Notas;Escritório/Documentos
wordpad.exe;WordPad;Escritório/Documentos
acrord32.exe;Adobe Acrobat Reader;Escritório/Documentos
acrobat.exe;Adobe Acrobat;Escritório/Documentos
foxitreader.exe;Foxit Reader;Escritório/Documentos
foxitpdfreader.exe;Foxit PDF Reader;Escritório/Documentos
foxitphantompdf.exe;Foxit PDF Editor;Escritório/Documentos
sumatrapdf.exe;SumatraPDF;Escritório/Documentos
pdfxcview.exe;PDF-XChange Viewer;Escritório/Documentos
pdfxedit.exe;PDF-XChange Editor;Escritório/Documentos
nitropdf.exe;Nitro PDF;Escritório/Documentos
onedrive.exe;OneDrive;Escritório/Documentos
dropbox.exe;Dropbox;Escritório/Documentos
googledrivesync.exe;Google Drive;Escritório/Documentos
googledrivefs.exe;Google Drive;Escritório/Documentos
evernote.exe;Evernote;Escritório/Documentos
notion.exe;Notion;Escritório/Documentos
obsidian.exe;Obsidian;Escritório/Documentos
todoist.exe;Todoist;Escritório/Documentos
trello.exe;Trello;Escritório/Documentos

# ----------------------------------------------------------------- comunicação
outlook.exe;Microsoft Outlook;Comunicação
olk.exe;Novo Outlook;Comunicação
hxoutlook.exe;Correio do Windows;Comunicação
thunderbird.exe;Mozilla Thunderbird;Comunicação
emclient.exe;eM Client;Comunicação
mailbird.exe;Mailbird;Comunicação
bluemail.exe;BlueMail;Comunicação
zimbradesktop.exe;Zimbra Desktop;Comunicação
whatsapp.exe;WhatsApp Desktop;Comunicação
telegram.exe;Telegram Desktop;Comunicação
signal.exe;Signal;Comunicação
slack.exe;Slack;Comunicação
discord.exe;Discord;Comunicação
mattermost.exe;Mattermost;Comunicação
rocketchat.exe;Rocket.Chat;Comunicação
skype.exe;Skype;Comunicação
lync.exe;Skype for Business;Comunicação

# ----------------------------------------------------------------- reuniões
teams.exe;Microsoft Teams;Reuniões
ms-teams.exe;Microsoft Teams;Reuniões
zoom.exe;Zoom;Reuniões
zoomworkplace.exe;Zoom Workplace;Reuniões
webex.exe;Cisco Webex;Reuniões
ciscocollabhost.exe;Cisco Webex;Reuniões
googlemeet.exe;Google Meet;Reuniões
gotomeeting.exe;GoToMeeting;Reuniões
