cnpj;mes_referencia;data_exportacao
25216438000132;2026-07-12;2026-08-06
39752042000114;2026-07-12;2026-08-06
09219028000199;2026-07-12;2026-08-06
42453516000131;2026-07-12;2026-08-06
34500064000173;2026-07-12;2026-08-06
41358105000102;2026-07-12;2026-08-06
40088230000179;2026-07-12;2026-08-06
15398536000184;2026-07-12;2026-08-06
05869483000189;2026-07-12;2026-08-06
26875741000100;2026-07-12;2026-08-06
39709451000138;2026-07-12;2026-08-06
40091772000109;2026-07-12;2026-08-06
55570892000158;2026-07-12;2026-08-06
05490840000101;2026-07-12;2026-08-06
03383010000222;2026-07-12;2026-08-06
42459771000191;2026-07-12;2026-08-06
16528169000159;2026-07-12;2026-08-06
37723417000192;2026-07-12;2026-08-06
20773509000184;2026-07-12;2026-08-06
46196236000146;2026-07-12;2026-08-06
52015470000122;2026-07-12;2026-08-06
46299292000106;2026-07-12;2026-08-06
46459116000194;2026-07-12;2026-08-06
29292894000112;2026-07-12;2026-08-06
49204211000135;2026-07-12;2026-08-06
50976317000136;2026-07-12;2026-08-06
37531314000120;2026-07-12;2026-08-06
14919424000169;2026-07-12;2026-08-06
47712493000156;2026-07-12;2026-08-06
47810314000113;2026-07-12;2026-08-06
47737522000134;2026-07-12;2026-08-06
49928567000111;2026-07-12;2026-08-06
51486328000109;2026-07-12;2026-08-06
22875162000106;2026-07-12;2026-08-06
48846054000107;2026-07-12;2026-08-06
53100108000112;2026-07-12;2026-08-06
37883947000106;2026-07-12;2026-08-06
38232081000128;2026-07-12;2026-08-06
56162414000171;2026-07-12;2026-08-06
33570502000107;2026-07-12;2026-08-06
27286308000100;2026-07-12;2026-08-06
22144254000116;2026-07-12;2026-08-06
47733593000169;2026-07-12;2026-08-06
40552173000137;2026-07-12;2026-08-06
43002958000124;2026-07-12;2026-08-06
35456593000180;2026-07-12;2026-08-06
43255692000121;2026-07-12;2026-08-06
35000752000137;2026-07-12;2026-08-06
48134283000190;2026-07-12;2026-08-06
16756962000105;2026-07-12;2026-08-06
36061875000140;2026-07-12;2026-08-06
35064668000187;2026-07-12;2026-08-06
50473980000118;2026-07-12;2026-08-06
22922929000100;2026-07-12;2026-08-06
54831361000109;2026-07-12;2026-08-06
45200748000176;2026-07-12;2026-08-06
11433312000105;2026-07-12;2026-08-06
08630524000178;2026-07-12;2026-08-06
07598887000100;2026-07-12;2026-08-06
03231596000129;2026-07-12;2026-08-06
09195862000191;2026-07-12;2026-08-06
07918104000129;2026-07-12;2026-08-06
06376163000150;2026-07-12;2026-08-06
